id,name,count,child_count,children
9231,"arcuate fasciculus",166.342805555,76,3
9232,"arcuate fasciculus, left",186.933538623,0,1
9233,"arcuate fasciculus, right",186.933538623,0,1
9234,"alveus",90.3428055546,0,3
9235,"alveus, left",180.685611109,0,1
9236,"alveus, right",180.685611109,0,1
9237,"ansa lenticularis",90.3428055546,0,3
9238,"ansa lenticularis, left",180.685611109,0,1
9239,"ansa lenticularis, right",180.685611109,0,1
9240,"cingulum bundle",90.3428055546,0,3
9241,"cingulum bundle, left",180.685611109,0,1
9242,"cingulum bundle, right",180.685611109,0,1
9243,"external capsule",90.3428055546,0,3
9244,"external capsule, left",180.685611109,0,1
9245,"external capsule, right",180.685611109,0,1
9246,"extreme capsule",90.3428055546,0,3
9247,"extreme capsule, left",180.685611109,0,1
9248,"extreme capsule, right",180.685611109,0,1
9249,"fornix",333.342805555,243,11
9250,"fornix, left",188.610423613,0,5
9251,"anterior column of the fornix, left",377.220847226,0,1
9252,"body of the fornix, left",377.220847226,0,1
9253,"fimbria, left",377.220847226,0,1
9254,"posterior column of the fornix, left",377.220847226,0,1
9255,"fornix, right",188.610423613,0,5
9256,"anterior column of the fornix, right",377.220847226,0,1
9257,"body of the fornix, right",377.220847226,0,1
9258,"fimbria, right",377.220847226,0,1
9259,"posterior column of the fornix, right",377.220847226,0,1
9260,"inferior longitudinal fasciculus",90.3428055546,0,3
9261,"inferior longitudinal fasciculus, left",180.685611109,0,1
9262,"inferior longitudinal fasciculus, right",180.685611109,0,1
9263,"internal capsule",237.342805555,147,3
9264,"internal capsule, left",187.885283454,0,1
9265,"internal capsule, right",187.885283454,0,1
9266,"mammillothalamic tract",90.3428055546,0,3
9267,"mammillothalamic tract, left",180.685611109,0,1
9268,"mammillothalamic tract, right",180.685611109,0,1
9269,"occipitofrontal fasciculus",90.3428055546,0,3
9270,"occipitofrontal fasciculus, left",180.685611109,0,1
9271,"occipitofrontal fasciculus, right",180.685611109,0,1
9272,"perpendicular fasciculus",90.3428055546,0,3
9273,"perpendicular fasciculus, left",180.685611109,0,1
9274,"perpendicular fasciculus, right",180.685611109,0,1
9275,"stria medullaris",90.3428055546,0,3
9276,"stria medullaris, left",180.685611109,0,1
9277,"stria medullaris, right",180.685611109,0,1
9278,"stria terminalis",351.342805555,261,3
9279,"stria terminalis, left",188.713517106,0,1
9280,"stria terminalis, right",188.713517106,0,1
9281,"superior longitudinal fasciculus",154.342805555,64,3
9282,"superior longitudinal fasciculus, left",186.685611109,0,1
9283,"superior longitudinal fasciculus, right",186.685611109,0,1
9284,"uncinate fasciculus of the forebrain",90.3428055546,0,3
9285,"uncinate fasciculus of the forebrain, left",180.685611109,0,1
9286,"uncinate fasciculus of the forebrain, right",180.685611109,0,1
9287,"metencephalic white matter",14.0401184508,0,22
9288,"cerebellar white matter tracts",28.0802369015,0,14
9289,"inferior cerebellar peduncle",56.1604738031,0,3
9290,"inferior cerebellar peduncle, Left",112.320947606,0,1
9291,"inferior cerebellar peduncle, Right",112.320947606,0,1
9292,"middle cerebellar peduncle",56.1604738031,0,3
9293,"middle cerebellar peduncle, Left",112.320947606,0,1
9294,"middle cerebellar peduncle, Right",112.320947606,0,1
9295,"superior cerebellar peduncle",56.1604738031,0,4
9296,"superior cerebellar peduncle, Left",112.320947606,0,1
9297,"superior cerebellar peduncle, Right",112.320947606,0,1
9298,"myelencephalic white matter",14.0401184508,2738,116
9299,"cranial nerves",39.4991436328,844,53
9300,"olfactory nerve",197.719386454,109,11
9301,"olfactory nerve, left",184.206957233,0,5
9302,"olfactory tract, left",368.413914467,0,3
9303,"olfactory bulb, left",368.413914467,0,1
9304,"olfactory nerve, right",184.206957233,0,5
9305,"olfactory tract, right",368.413914467,0,3
9306,"olfactory bulb, right",368.413914467,0,1
9307,"optic nerve",588.719386454,500,11
9308,"optic nerve, left",186.404557193,0,5
9309,"optic tract, left",372.809114386,0,1
9310,"optic chiasm, left",372.809114386,0,1
9311,"optic radiations, left",372.809114386,0,1
9312,"optic nerve, right",186.404557193,0,5
9313,"optic tract, right",372.809114386,0,1
9314,"optic chiasm, right",372.809114386,0,1
9315,"optic radiations, right",372.809114386,0,1
9316,"occulomotor nerve",88.7193864543,0,3
9317,"occulomotor nerve, left",177.438772909,0,1
9318,"occulomotor nerve, right",177.438772909,0,1
9319,"trochlear nerve",88.7193864543,0,3
9320,"trochlear nerve, left",177.438772909,0,1
9321,"trochlear nerve, right",177.438772909,0,1
9322,"trigeminal nerve",156.719386454,68,3
9323,"trigeminal nerve, left",183.52623575,0,1
9324,"trigeminal nerve, right",183.52623575,0,1
9325,"abducens nerve",88.7193864543,0,3
9326,"abducens nerve, left",177.438772909,0,1
9327,"abducens nerve, right",177.438772909,0,1
9328,"facial nerve",161.719386454,73,3
9329,"facial nerve, left",183.628597467,0,1
9330,"facial nerve, right",183.628597467,0,1
9331,"vestibulocochlear nerve",88.7193864543,0,3
9332,"vestibulchochlear nerve, left",177.438772909,0,1
9333,"vestibulochochlear nerve, right",177.438772909,0,1
9334,"glossopharyngeal nerve",88.7193864543,0,3
9335,"glossopharyngeal nerve, left",177.438772909,0,1
9336,"glossopharyngeal nerve, right",177.438772909,0,1
9337,"vagus nerve",182.719386454,94,3
9338,"vagus nerve, left",183.99336176,0,1
9339,"vagus nerve, right",183.99336176,0,1
9340,"accessory nerve",88.7193864543,0,3
9341,"accessory nerve, left",177.438772909,0,1
9342,"accessory nerve, right",177.438772909,0,1
9343,"hypoglossal nerve",88.7193864543,0,3
9344,"hypoglossal nerve, left",177.438772909,0,1
9345,"hypoglossal nerve, right",177.438772909,0,1
9346,"dorsal longitudinal fasciculus",39.4991436328,0,3
9347,"dorsal longitudinal fasciculus, Left",78.9982872656,0,1
9348,"dorsal longitudinal fasciculus, Right",78.9982872656,0,1
9349,"medial longitudinal fasciculus",39.4991436328,0,3
9350,"medial longitudinal fasciculus, Left",78.9982872656,0,1
9351,"medial longitudinal fasciculus, Right",78.9982872656,0,1
9352,"sulci & spaces",0,6453,78
